t,x,theta,u
8.01449937,0.000201656,-0.000244208,0
8.03E+00,1.82E-04,-0.000180711,0
8.05E+00,1.77E-04,-0.000175265,0
8.063301811,1.81E-04,-0.00020423,0
8.077500616,1.77E-04,-0.000201791,0
8.095010695,1.65E-04,-0.000178663,0
8.114925334,1.44E-04,-0.00012296,0
8.129220423,1.41E-04,-0.00013324,0
8.143515513,0.000134584,-0.000129085,0
8.160872835,0.000121014,-0.000104935,0
8.180524675,9.83E-05,-5.16E-05,0
8.19840933,7.61E-05,1.61E-06,0
8.212894984,7.55E-05,-2.16E-05,0
8.226353525,7.19E-05,-3.18E-05,0
8.242044321,6.06E-05,-1.74E-05,0
8.261063195,4.18E-05,1.86E-05,0
8.28041911,1.46E-05,8.57E-05,0
8.296428581,5.08E-06,9.25E-05,0
8.309865634,6.39E-06,6.35E-05,0
8.324064434,-6.50E-07,6.49E-05,0
8.341574511,-1.41E-05,8.51E-05,0
8.361489153,-3.65E-05,0.00013557,0
8.375784241,-3.87E-05,0.000120335,0
8.390079329,-4.43E-05,0.00011858,0
8.407436652,-5.55E-05,0.000134346,0
8.427088493,-7.43E-05,0.000176678,0
8.444973148,-9.19E-05,0.000218669,0
8.4594588,-8.79E-05,0.000185542,0
8.472917337,-8.68E-05,0.00016555,0
8.488608131,-9.21E-05,0.000167941,0
8.507627009,-0.000102643,0.000188569,0
8.526982926,-0.000120742,0.000239332,0
8.542992398,-0.000122136,0.000232102,0
8.556429447,-0.000113671,0.000191099,0
8.570628243,-0.000112859,0.000179522,0
8.58813832,-0.000116302,0.000183672,0
8.608052966,-0.000126885,0.000215738,0
8.622348053,-0.000120369,0.000187293,0
8.636643139,-0.000117132,0.000172399,0
8.654000463,-0.000117578,0.000172384,0
8.673652308,-0.000124135,0.000197191,0
8.691536963,-0.000130635,0.000223649,0
8.706022614,-0.000117772,0.000178298,0
8.719481149,-0.000108523,0.000147277,0
8.735171943,-0.000104406,0.000137255,0
8.754190822,-0.000103918,0.000143549,0
8.773546742,-0.000111157,0.000180603,0
8.789556213,-0.000103923,0.000162757,0
8.802993261,-8.85E-05,0.000113377,0
8.817192056,-8.06E-05,9.35E-05,0
8.834702133,-7.58E-05,8.82E-05,0
8.854616781,-7.76E-05,0.000110707,0
8.868911867,-6.53E-05,7.61E-05,0
8.883206953,-5.66E-05,5.58E-05,0
8.900564277,-5.10E-05,5.00E-05,0
8.920216122,-5.15E-05,6.94E-05,0
8.938100779,-5.31E-05,9.20E-05,0
8.952586429,-3.69E-05,4.43E-05,0
8.966044965,-2.48E-05,1.17E-05,0
8.98173576,-1.80E-05,4.58E-07,0
9.000754639,-1.49E-05,6.32E-06,0
9.020110558,-2.02E-05,4.40E-05,0
9.036120029,-1.20E-05,2.75E-05,0
9.049557078,3.81E-06,-2.02E-05,0
9.063755876,1.17E-05,-3.79E-05,0
9.081265955,1.60E-05,-3.97E-05,0
9.1011806,1.29E-05,-1.24E-05,0
9.115475687,2.39E-05,-4.31E-05,0
9.129770774,3.09E-05,-5.91E-05,0
9.147128098,3.40E-05,-5.91E-05,0
9.166779942,3.02E-05,-3.25E-05,0
9.184664598,2.50E-05,-2.92E-06,0
9.19915025,3.82E-05,-4.47E-05,0
9.212608788,4.70E-05,-7.16E-05,0
9.228299583,5.00E-05,-7.58E-05,0
9.247318461,4.80E-05,-6.14E-05,0
9.266674378,3.72E-05,-1.47E-05,0
9.282683849,4.07E-05,-2.37E-05,0
9.296120901,5.25E-05,-6.50E-05,0
9.310319701,5.60E-05,-7.59E-05,0
9.327829779,5.49E-05,-6.95E-05,0
9.347744423,4.55E-05,-3.29E-05,0
9.36203951,5.19E-05,-5.70E-05,0
9.376334598,5.43E-05,-6.66E-05,0
9.393691921,5.19E-05,-5.89E-05,0
9.413343764,4.20E-05,-2.40E-05,0
9.43122842,3.13E-05,1.28E-05,0
9.445714072,4.01E-05,-2.33E-05,0
9.459172611,4.51E-05,-4.52E-05,0
9.474863406,4.36E-05,-4.39E-05,0
9.493882283,3.65E-05,-2.31E-05,0
9.5132382,2.07E-05,2.94E-05,0
9.529247671,2.03E-05,2.49E-05,0
9.542684722,2.90E-05,-1.31E-05,0
9.556883522,2.95E-05,-2.07E-05,0
9.5743936,2.48E-05,-1.06E-05,0
9.594308243,1.17E-05,2.94E-05,0
9.608603331,1.58E-05,7.49E-06,0
9.622898418,1.61E-05,-2.97E-07,0
9.640255741,1.15E-05,9.05E-06,0
9.659907584,-6.84E-07,4.53E-05,0
9.677792239,-1.30E-05,8.29E-05,0
9.692277891,-5.22E-06,4.70E-05,0
9.705736429,-1.05E-06,2.51E-05,0
9.721427224,-3.20E-06,2.59E-05,0
9.740446101,-1.08E-05,4.57E-05,0
9.759802018,-2.66E-05,9.67E-05,0
9.77581149,-2.68E-05,9.05E-05,0
9.78924854,-1.77E-05,5.10E-05,0
9.803447339,-1.66E-05,4.15E-05,0
9.820957416,-2.04E-05,4.90E-05,0
9.84087206,-3.20E-05,8.57E-05,0
9.855167148,-2.67E-05,6.11E-05,0
9.869462235,-2.51E-05,5.06E-05,0
9.886819558,-2.79E-05,5.64E-05,0
9.906471401,-3.78E-05,8.84E-05,0
9.924356057,-4.78E-05,0.000121985,0
9.938841708,-3.81E-05,8.27E-05,0
9.952300245,-3.20E-05,5.76E-05,0
9.96799104,-3.18E-05,5.47E-05,0
9.987009918,-3.65E-05,6.98E-05,0
10,-2.56E-05,2.77E-05,0
10,-2.56E-05,2.77E-05,1
10,-2.56E-05,2.77E-05,1
10.01173639,-0.000244221,0.000846891,1
10.02347278,-0.001473287,0.00546126,1
10.04208012,-0.005444983,0.020440495,1
10.06027809,-0.009876613,0.037394692,1
10.07847607,-0.014535659,0.05565778,1
10.09496201,-0.019523129,0.075655631,1
10.11025892,-0.024486943,0.096141472,1
10.12561479,-0.02934425,0.117069332,1
10.14208608,-0.034359347,0.139922485,1
10.15977047,-0.039546888,0.16528465,1
10.17754035,-0.044271218,0.190871963,1
10.19383636,-0.047914764,0.213730632,1
10.20899835,-0.050619745,0.234344283,1
10.22479156,-0.052640334,0.254999668,1
10.24244549,-0.053759732,0.276702998,1
10.26106795,-0.053435933,0.297567993,1
10.27848969,-0.051602209,0.314979326,1
10.29420201,-0.048581878,0.328769695,1
10.30975523,-0.044216957,0.340426029,1
10.32695932,-0.037703786,0.350827217,1
10.3459261,-0.028388228,0.359113346,1
10.36456666,-0.01698719,0.36390022,1
10.38117981,-0.00492306,0.365327389,1
